Year,Month,monthly_anomaly,monthly_uncertainty,annual_anomaly,annual_uncertainty,five_year_anomaly,five_year_uncertainty,ten_year_anomaly,ten_year_uncertainty,twenty_year_anomaly,twenty_year_uncertainty
1760,4,-1.330,1.558,-2.103,1.064,-1.483,0.648,-1.165,0.552,NaN,NaN
1760,5,-1.718,1.723,-2.114,1.059,-1.461,0.649,-1.166,0.553,NaN,NaN
1760,6,-2.075,1.437,-1.912,1.173,-1.453,0.642,-1.184,0.557,NaN,NaN
1760,7,NaN,NaN,-2.010,1.091,-1.478,0.636,-1.199,0.560,NaN,NaN
1760,8,-0.942,4.170,-2.117,1.099,-1.482,0.641,-1.190,0.566,NaN,NaN
1760,9,-1.666,1.755,-1.916,1.086,-1.502,0.637,-1.184,0.564,NaN,NaN
1760,10,-2.687,1.666,-1.900,1.090,-1.498,0.640,-1.209,0.568,NaN,NaN
1760,11,-2.864,5.002,-1.589,1.081,-1.489,0.634,-1.194,0.566,NaN,NaN
1760,12,-1.850,3.126,-1.041,1.115,-1.487,0.630,-1.180,0.566,NaN,NaN
1761,1,-4.170,1.976,-0.380,1.055,-1.423,0.633,-1.202,0.560,NaN,NaN
1761,2,-1.168,2.139,-0.236,1.048,-1.384,0.634,-1.202,0.562,NaN,NaN
1761,3,-0.039,1.922,-0.184,1.013,-1.365,0.630,-1.200,0.566,NaN,NaN
1761,4,-1.136,1.558,-0.255,1.040,-1.356,0.621,-1.214,0.575,NaN,NaN
1761,5,2.016,1.637,-0.185,1.028,-1.364,0.626,-1.223,0.586,NaN,NaN
1761,6,4.498,3.137,-0.445,0.939,-1.342,0.642,-1.221,0.583,NaN,NaN
1761,7,5.442,1.315,0.088,1.049,-1.376,0.656,-1.224,0.582,NaN,NaN
1761,8,NaN,NaN,0.097,1.072,-1.360,0.672,-1.214,0.586,NaN,NaN
1761,9,-1.041,1.500,-0.130,1.067,-1.360,0.666,-1.203,0.589,NaN,NaN
1761,10,NaN,NaN,-0.077,1.068,-1.352,0.669,-1.199,0.594,NaN,NaN
1761,11,-2.013,4.655,-0.283,1.089,-1.355,0.674,-1.173,0.589,NaN,NaN
1761,12,-4.974,2.066,-0.702,1.122,-1.388,0.690,-1.160,0.584,NaN,NaN
1762,1,NaN,NaN,-1.167,1.139,-1.365,0.704,-1.156,0.583,NaN,NaN
1762,2,-1.055,4.791,-1.247,1.132,-1.357,0.722,-1.164,0.588,NaN,NaN
1762,3,-2.765,4.874,-1.258,1.105,-1.372,0.727,-1.158,0.589,NaN,NaN
1762,4,-0.504,1.873,-1.209,1.057,-1.326,0.720,-1.158,0.591,NaN,NaN
1762,5,-0.448,3.952,-1.211,1.074,-1.292,0.723,-1.172,0.594,NaN,NaN
1762,6,-0.530,2.161,-0.829,1.057,-1.173,0.735,-1.171,0.593,NaN,NaN
1762,7,-0.136,3.483,-1.372,0.894,-1.143,0.721,-1.187,0.590,NaN,NaN
1762,8,NaN,NaN,-1.522,0.878,-1.135,0.715,-1.196,0.595,NaN,NaN
1762,9,-1.175,2.645,-1.561,0.856,-1.087,0.717,-1.215,0.601,-1.079,0.540
1762,10,-2.947,3.125,-1.660,0.853,-1.062,0.718,-1.200,0.605,-1.070,0.545
1762,11,-2.039,2.520,-1.777,0.848,-1.045,0.715,-1.176,0.603,-1.067,0.545
1762,12,-0.389,3.332,-1.855,1.766,-1.062,0.735,-1.185,0.607,-1.048,0.552
1763,1,-4.301,2.735,-1.694,1.603,-1.041,0.742,-1.181,0.621,-1.052,0.557
1763,2,-2.848,4.368,-1.757,1.860,-1.032,0.753,-1.154,0.637,-1.065,0.559
1763,3,-3.232,4.272,-1.729,1.496,-1.015,0.743,-1.163,0.628,-1.072,0.561
1763,4,-1.694,2.641,-1.744,1.693,-0.994,0.742,-1.170,0.637,-1.066,0.567
1763,5,-1.859,2.640,-1.855,1.682,-0.966,0.742,-1.170,0.634,-1.059,0.565
1763,6,-1.457,3.890,-1.882,1.544,-0.934,0.716,-1.177,0.633,-1.060,0.568
1763,7,NaN,NaN,-1.761,1.458,-0.902,0.708,-1.168,0.628,-1.058,0.572
